URL,Date,Type d'URL,Type d'acteurs,Thème,Position,Poids,Lu,Position/IVG,Notes
https://www.facebook.com/koztoujours/posts/1252730608103044:0,03/12/2016,Facebook,Particulier,Liberté d'expression,Contre l'extension du délit d'entrave,Moyen,Oui,Pour,
https://www.facebook.com/lemonde.fr/posts/10154723170047590,27/09/2016,Facebook,Particulier,Droit à l'IVG,Pour l'extension du délit d'entrave,Fort,Oui,Oui,"Meilleurs commentaires sur un post du journal ""Le Monde"""
https://www.facebook.com/lemonde.fr/posts/10154944145197590,01/12/2016,Facebook,Particulier,Droit à l'IVG,Pour l'extension du délit d'entrave,Fort,Oui,Oui,"Meilleurs commentaires sur un post du journal ""Le Monde"""
http://fr.radiovaticana.va/news/2016/09/30/controverse_en_france_autour_du_%C2%ABd%C3%A9lit_dentrave_%C3%A0_livg%C2%BB/1261767,30/09/2016,Radio,Particulier,Liberté d'expression,Contre l'extension du délit d'entrave,Fort,Non,Contre,
https://www.facebook.com/koztoujours/posts/1187945001248272,03/10/2016,Facebook,Particulier,Liberté d'expression,Contre l'extension du délit d'entrave,Moyen,Oui,Contre,
http://www.journaldesfemmes.com/societe/actu/1739385-delit-entrave-ivg-combat-gagne/,16/02/2017,Article,Instance politique,Droit à l'IVG,Pour l'extension du délit d'entrave,Fort,Oui,Pour,
https://twitter.com/EgaliteFemmes/status/804314604222500864,01/12/2016,Tweet,Association,Désinformation,Pour l'extension du délit d'entrave,Fort,Oui,Pour,
https://www.facebook.com/AssembleeNationale/photos/a.251885371532031.78848.153881941332375/1173627382691154/?type=3&comment_id=1174850205902205&comment_tracking=%7B%22tn%22%3A%22R%22%7D,01/12/2016,Facebook,Instance politique,Juridiction,Pour l'extension du délit d'entrave,Fort,Oui,Pour,
https://fr.novopress.info/202244/angie-camp-emeut-en-presentant-sur-facebook-son-delit-entrave-ivg/,07/12/2016,Article,Particulier,Alternatives à l'IVG,Contre l'extension du délit d'entrave,Faible,Non,Contre,
http://www.famillechretienne.fr/politique-societe/presidentielle-2017/francois-fillon-abrogera-le-delit-d-entrave-numerique-a-l-ivg-214982,17/03/2016,Article,Instance politique,Présidentielles,Contre l'extension du délit d'entrave,Fort,Oui,Contre,Francois Fillon et le délit d'entrave à l'IVG
http://www.famillechretienne.fr/politique-societe/bioethique/delit-d-entrave-numerique-a-l-ivg-mgr-pontier-en-appelle-a-francois-hollande-208434,29/11/2016,Article,Religieux,Liberté d'expression,Contre l'extension du délit d'entrave,Fort,Oui,Contre,
http://lessocialistes.fr/node/8616#sthash.oSdAtl31.dpbs,NA,Site institutionnel,Instance politique,Droit à l'IVG,Pour l'extension du délit d'entrave,Moyen,Non,Pour,
http://www.padreblog.fr/ivg-retour-delit-dentrave-numerique,07/12/2016,Blog,Religieux,Liberté d'expression,Contre l'extension du délit d'entrave,Fort,Oui,Contre,
http://www.madmoizelle.com/delit-entrave-ivg-reponse-eglise-676137,30/11/2016,Article,Militante féministe,Désinformation,Pour l'extension du délit d'entrave,Moyen,Oui,Pour,
